PDF Link,Country,Inspection Year,Total Issuer Audit Clients,Inspection Report Date,Audits Reviewed,Part I.A Deficiency Rate,Company,Inspection Report Company
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-064-dt-colombia.pdf?sfvrsn=9a878f58_2,Colombia,2023,1,"Apr. 26, 2024",1,0%,Deloitte Touche Tohmatsu Limited,Deloitte & Touche S.A.S.
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-068-e-y-taiwan.pdf?sfvrsn=944131a3_2,Taiwan,2023,1,"Apr. 26, 2024",3,0%,Ernst & Young Global Limited,Ernst & Young
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-070-e-y-luxembourg.pdf?sfvrsn=6fb81079_2,Luxembourg,2023,3,"Apr. 26, 2024",3,67%,Ernst & Young Global Limited,Ernst & Young S.A.
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-055-dt-(singapore).pdf?sfvrsn=f93b26bf_2,Singapore,2023,3,"Mar. 21, 2024",3,0%,Deloitte Touche Tohmatsu Limited,Deloitte & Touche LLP
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-056-ey-(colombia).pdf?sfvrsn=d7b157e4_2,Colombia,2023,2,"Mar. 21, 2024",3,33%,Ernst & Young Global Limited,Ernst & Young Audit S.A.S.
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-058-kpmg-(uk).pdf?sfvrsn=f9702597_2,United Kingdom,2022,17,"Mar. 21, 2024",3,0%,KPMG International Cooperative,KPMG LLP
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-059-pwc-(argentina).pdf?sfvrsn=7f2c51e8_2,Argentina,2023,17,"Mar. 21, 2024",3,0%,PricewaterhouseCoopers International Limited,Price Waterhouse & Co. S.R.L.
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-050-kpmg-panama.pdf?sfvrsn=95f38353_2,Panama,2023,1,"Feb. 22, 2024",2,50%,KPMG International Cooperative,KPMG
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-027-gaveglio-peru.pdf?sfvrsn=35f46550_4,Peru,2023,1,"Dec. 21, 2023",3,33%,PricewaterhouseCoopers International Limited,Gaveglio Aparicio y Asociados S. Civil de R.L.
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-035a-kpmg.pdf?sfvrsn=caba4ffc_2,United States,2022,,"Dec. 20, 2023",54,30%,KPMG International Cooperative,KPMG LLP
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-033-ey.pdf?sfvrsn=dcfd5d18_4,United States,2022,,"Dec. 8, 2023",54,46%,Ernst & Young Global Limited,Ernst & Young LLP
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-036-pwc.pdf?sfvrsn=20b0a06e_4,United States,2022,,"Nov. 30, 2023",54,9%,PricewaterhouseCoopers International Limited,PricewaterhouseCoopers LLP
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-009-emmerich-peru.pdf?sfvrsn=42dae3f6_4,Peru,2023,1,"Nov. 16, 2023",3,0%,KPMG International Cooperative,"Emmerich, Cordova y Asociados S. Civil de R.L."
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-011-kpmg-south-africa.pdf?sfvrsn=ed9e1d04_4,South Africa,2023,1,"Nov. 16, 2023",3,33%,KPMG International Cooperative,KPMG Inc
https://assets.pcaobus.org/pcaob-dev/docs/default-source/inspections/reports/documents/104-2024-032-dt.pdf?sfvrsn=89a939eb_4,United States,2022,,"Nov. 7, 2023",53,17%,Deloitte Touche Tohmatsu Limited,Deloitte & Touche LLP
